site	x	y	color
Heuneburg	9.41788866252458	48.0930219661432	#8DD3C7
Salins-les-Bains	5.89121445103583	46.9525297965931	#E0F3B8
Chatillon-sur-Glane	7.11005865061133	46.7716496956233	#E0DEC5
Vix	4.53699887463977	47.908147151585	#CAAEC5
Britzgyberg	7.27247560719914	47.6730639834407	#F68378
Begues	3.36133624207829	46.358235129922	#A9A0B2
Chassey	4.70599773517429	46.8843909536792	#B2B2A5
Hieres	5.17057165072017	45.7493542761343	#F3B962
Montmirey	5.50426348401436	47.1484952306946	#BCD868
Bourguignon	5.9105398597869	47.7249018915522	#DED3B3
Ipf	10.3477216194369	48.8645777395156	#F0D1E1
Breisach	7.59612748125337	47.9869322317134	#D7D3D7
Uetliberg	8.48252893987079	47.3009050491819	#C191C2
Mareinberg	9.92929913669465	49.7308676684952	#C4B9C1
Bourges	2.39998099970292	47.0631728572155	#D9EBAE
Ehrenburg	11.1790912316035	49.6901135784438	#FFED6F
